,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
288,"['⭐', '❗']",2,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
289,"['😂', '😩']",4,0.25,0.75,0.5,0.75,0.0,1.25,0.0,0.25
290,"['😂', '😎', '❤']",1,0.0,3.0,0.0,1.0,3.0,1.0,2.0,2.0
291,"['✨', '🥰']",3,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
292,"['💔', '🚨', '😭']",1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
293,"['📌', '💥']",68,0.029411764705882353,0.0,0.0,1.1176470588235294,1.0,1.0588235294117647,0.0,3.0
294,"['😂', '😭', '🤣']",25,1.24,1.36,0.76,1.96,0.84,1.96,0.76,1.48
295,"['✨', '❗']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,"['❤', '⚠']",1,0.0,4.0,0.0,0.0,2.0,2.0,1.0,2.0
297,"['😂', '🥰']",19,0.47368421052631576,0.42105263157894735,0.42105263157894735,0.8421052631578947,0.5263157894736842,0.5789473684210527,0.3684210526315789,0.8421052631578947
298,"['❤', '🤔']",2,0.0,1.5,0.5,1.0,1.0,0.0,0.5,0.5
299,"['😩', '🥺']",5,0.6,1.6,0.8,0.8,1.4,0.6,1.0,1.2
300,"['🚨', '🤣', '💥']",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
301,"['😭', '🔥', '🤣']",1,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
302,"['😂', '✅']",3,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666
303,"['💥', '⚡']",4,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
304,"['🤡', '🤣']",3,0.3333333333333333,1.3333333333333333,0.0,2.3333333333333335,1.3333333333333333,1.0,1.0,1.3333333333333333
305,"['🚨', '📍']",1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0
306,"['😂', '🔥', '🤣']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
307,"['👇', '🤣']",4,0.25,1.0,0.5,1.25,1.0,1.0,0.25,1.5
308,['‼'],315,0.5238095238095238,1.4222222222222223,0.526984126984127,1.1587301587301588,1.0952380952380953,1.380952380952381,0.4253968253968254,1.488888888888889
