,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
628,"['⚽', '👀']",4,0.25,2.0,0.0,0.5,0.75,0.25,0.75,0.75
629,"['‼', '✨']",29,0.4482758620689655,0.5172413793103449,0.2413793103448276,0.27586206896551724,0.3793103448275862,0.3448275862068966,0.3448275862068966,0.3103448275862069
630,"['❤', '❗']",74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0135135135135136
631,"['🔴', '📌']",2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
632,"['😭', '👉']",1,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
633,"['🙏', '👀']",7,0.5714285714285714,0.8571428571428571,0.14285714285714285,1.5714285714285714,0.5714285714285714,0.8571428571428571,0.2857142857142857,1.1428571428571428
634,"['🔴', '✅']",12,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.25,0.5833333333333334,0.25,0.4166666666666667
635,"['😂', '😭', '💔']",1,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
636,"['⭐', '🤔', '✨', '👉', '❤', '❗']",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667
637,['⚡'],271,0.8118081180811808,0.6715867158671587,0.35793357933579334,0.977859778597786,0.5202952029520295,0.8376383763837638,0.5682656826568265,0.7453874538745388
638,"['‼', '🎉', '😭']",88,2.0,1.0,0.0,2.0113636363636362,1.0113636363636365,2.0,2.0,0.022727272727272728
639,"['😭', '⚽']",1,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0
640,"['📌', '🎉', '👇', '⚠']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,"['🇧🇷', '🙏', '🎉']",1,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0
642,"['🙏', '🥰', '‼', '🤣']",1,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0
643,"['❤', '😭', '🤣']",2,0.5,0.0,0.5,1.0,1.5,1.0,0.0,0.5
644,"['😭', '‼', '👀']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,"['✨', '👀']",16,0.625,0.0,0.625,0.75,0.5,0.875,0.25,0.5
646,"['🚨', '⚠']",47,0.8085106382978723,0.44680851063829785,0.5957446808510638,1.446808510638298,0.3617021276595745,1.4893617021276595,0.06382978723404255,1.148936170212766
647,"['💔', '🤡']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,"['🥺', '🤡']",2,2.5,0.5,2.5,3.0,1.0,3.0,1.0,1.0
649,"['😂', '🤔']",40,0.725,0.6,0.55,1.2,0.425,0.925,0.5,0.675
650,"['😩', '🚨']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,['✨'],4982,0.5244881573665194,0.5379365716579687,0.12826174227217985,0.5499799277398635,0.6198313930148535,0.5545965475712565,0.52328382175833,0.660578081091931
652,"['😂', '❤', '🥺']",2,1.0,0.5,1.5,1.0,1.0,1.0,0.5,1.0
653,"['📌', '🚨', '❗']",40,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
654,"['❤', '🎉', '👀']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,"['❤', '✨', '🥰']",16,0.0625,0.25,0.0,0.25,0.3125,0.625,0.125,0.5
656,"['😂', '😎']",19,0.7368421052631579,0.5789473684210527,0.3684210526315789,1.0,0.5263157894736842,0.5789473684210527,0.15789473684210525,0.6842105263157895
657,"['😂', '👀']",30,0.7333333333333333,0.5666666666666667,0.6333333333333333,0.7333333333333333,0.4666666666666667,0.5666666666666667,0.4,0.7333333333333333
658,"['❤', '✨']",97,0.4536082474226804,0.4536082474226804,0.18556701030927836,0.6391752577319587,0.711340206185567,0.4742268041237113,0.3402061855670103,0.7216494845360825
659,"['😩', '‼']",3,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
660,"['😭', '🥺', '🤣']",1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
661,"['🚨', '🥺']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
