,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
377,"['🙏', '👇', '🥰']",5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
378,"['❤', '🔥', '🥰']",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
379,"['😩', '😭', '🥺']",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,['😭'],279,0.12544802867383512,0.34408602150537637,0.34050179211469533,0.12186379928315412,0.32974910394265233,0.3835125448028674,0.05734767025089606,0.2222222222222222
381,"['➡', '👇', '📌']",4,0.0,2.25,0.0,1.0,0.75,2.25,0.75,0.75
382,"['💔', '🤔', '👀']",1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
383,"['😂', '🔥']",9,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111
384,"['⚽', '👇']",13,0.07692307692307693,0.38461538461538464,0.0,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.8461538461538461
385,"['🔥', '🥺']",7,0.0,1.7142857142857142,0.0,0.0,2.4285714285714284,0.0,0.8571428571428571,0.8571428571428571
386,"['🙏', '✨', '📌']",1,0.0,3.0,0.0,0.0,3.0,0.0,2.0,3.0
387,"['🚨', '👉', '📌']",1,2.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0
388,"['➡', '👉', '✅', '📍']",1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
389,"['❌', '🎉']",5,0.0,1.2,0.0,0.0,2.2,0.0,1.0,1.2
390,"['🎉', '📌']",2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
391,"['⭐', '😎']",8,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25
392,"['🎉', '✅', '🔥']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
393,"['🔥', '➡', '📌']",1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
394,"['⚠', '📌']",3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.3333333333333335
395,"['➡', '⚽', '🔴']",1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
396,"['😎', '✅']",2,0.0,0.5,0.0,0.0,2.0,0.0,0.5,1.0
397,"['❤', '🔥', '🎉']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,"['👇', '🥰', '👀']",1,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0
399,"['😭', '🙏']",6,1.0,0.16666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.8333333333333334,0.5,0.6666666666666666
400,"['😂', '🙄', '🤔', '🤣']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,"['🇧🇷', '👇']",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,"['💔', '✅']",1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
403,"['🔥', '🤔']",1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
404,"['❤', '👉']",61,0.04918032786885246,0.21311475409836064,0.11475409836065574,0.09836065573770492,0.14754098360655737,0.03278688524590164,0.11475409836065574,0.19672131147540983
405,"['🇧🇷', '🔴']",3,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
406,"['🙏', '⚽', '👉', '❌']",1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
407,"['😩', '💔', '‼', '🥺']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,"['🥰', '⚡']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,"['🥰', '🤣']",2,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5
410,"['👇', '🤔']",49,0.061224489795918366,0.4489795918367347,0.10204081632653061,0.30612244897959184,0.12244897959183673,0.30612244897959184,0.12244897959183673,0.4489795918367347
411,"['⚽', '❗']",2,1.5,1.0,1.0,1.5,1.0,1.0,1.0,2.0
412,"['❌', '👉', '✅']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,"['‼', '➡', '👇']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,"['👉', '🔴', '📌']",2,0.5,0.5,0.5,0.5,0.5,1.0,0.0,2.0
415,['🚨'],3448,0.40835266821345706,0.39443155452436196,0.3665893271461717,0.6046983758700696,0.28016241299303946,0.4115429234338747,0.19344547563805103,0.5426334106728539
416,['🇫🇷'],338,0.03550295857988166,0.22189349112426035,0.06804733727810651,0.06804733727810651,0.20414201183431951,0.05917159763313609,0.05621301775147929,0.27514792899408286
417,"['❤', '🥰']",65,0.18461538461538463,0.3076923076923077,0.06153846153846154,0.23076923076923078,0.6307692307692307,0.06153846153846154,0.13846153846153847,0.7538461538461538
418,"['😂', '🔴']",10,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.6
419,"['‼', '👇', '✅']",4,0.0,1.0,0.5,0.0,0.0,0.25,0.0,1.25
